Feature of type 3 starts(5, 5) ends(31, 11) in (x, y) format
Feature of type 0 starts(6, 5) ends(25, 9) in (x, y) format
Feature of type 1 starts(6, 5) ends(25, 9) in (x, y) format
Feature of type 2 starts(6, 5) ends(25, 9) in (x, y) format
Feature of type 3 starts(6, 5) ends(25, 9) in (x, y) format
Feature of type 0 starts(6, 5) ends(25, 10) in (x, y) format
Feature of type 1 starts(6, 5) ends(25, 10) in (x, y) format
Feature of type 2 starts(6, 5) ends(25, 10) in (x, y) format
Feature of type 3 starts(6, 5) ends(25, 10) in (x, y) format
Feature of type 0 starts(6, 5) ends(25, 11) in (x, y) format
Feature of type 1 starts(6, 5) ends(25, 11) in (x, y) format
Feature of type 2 starts(6, 5) ends(25, 11) in (x, y) format
Feature of type 3 starts(6, 5) ends(25, 11) in (x, y) format
Feature of type 0 starts(6, 5) ends(26, 9) in (x, y) format
Feature of type 1 starts(6, 5) ends(26, 9) in (x, y) format
Feature of type 2 starts(6, 5) ends(26, 9) in (x, y) format
Feature of type 3 starts(6, 5) ends(26, 9) in (x, y) format
Feature of type 0 starts(6, 5) ends(26, 10) in (x, y) format
Feature of type 1 starts(6, 5) ends(26, 10) in (x, y) format
Feature of type 2 starts(6, 5) ends(26, 10) in (x, y) format
Feature of type 3 starts(6, 5) ends(26, 10) in (x, y) format
Feature of type 0 starts(6, 5) ends(26, 11) in (x, y) format
Feature of type 1 starts(6, 5) ends(26, 11) in (x, y) format
Feature of type 2 starts(6, 5) ends(26, 11) in (x, y) format
Feature of type 3 starts(6, 5) ends(26, 11) in (x, y) format
Feature of type 0 starts(6, 5) ends(27, 9) in (x, y) format
Feature of type 1 starts(6, 5) ends(27, 9) in (x, y) format
Feature of type 2 starts(6, 5) ends(27, 9) in (x, y) format
Feature of type 3 starts(6, 5) ends(27, 9) in (x, y) format
Feature of type 0 starts(6, 5) ends(27, 10) in (x, y) format
Feature of type 1 starts(6, 5) ends(27, 10) in (x, y) format
Feature of type 2 starts(6, 5) ends(27, 10) in (x, y) format
Feature of type 3 starts(6, 5) ends(27, 10) in (x, y) format
Feature of type 0 starts(6, 5) ends(27, 11) in (x, y) format
Feature of type 1 starts(6, 5) ends(27, 11) in (x, y) format
Feature of type 2 starts(6, 5) ends(27, 11) in (x, y) format
Feature of type 3 starts(6, 5) ends(27, 11) in (x, y) format
Feature of type 0 starts(6, 5) ends(28, 9) in (x, y) format
Feature of type 1 starts(6, 5) ends(28, 9) in (x, y) format
Feature of type 2 starts(6, 5) ends(28, 9) in (x, y) format
Feature of type 3 starts(6, 5) ends(28, 9) in (x, y) format
Feature of type 0 starts(6, 5) ends(28, 10) in (x, y) format
Feature of type 1 starts(6, 5) ends(28, 10) in (x, y) format
Feature of type 2 starts(6, 5) ends(28, 10) in (x, y) format
Feature of type 3 starts(6, 5) ends(28, 10) in (x, y) format
Feature of type 0 starts(6, 5) ends(28, 11) in (x, y) format
Feature of type 1 starts(6, 5) ends(28, 11) in (x, y) format
Feature of type 2 starts(6, 5) ends(28, 11) in (x, y) format
Feature of type 3 starts(6, 5) ends(28, 11) in (x, y) format
Feature of type 0 starts(6, 5) ends(29, 9) in (x, y) format
Feature of type 1 starts(6, 5) ends(29, 9) in (x, y) format
Feature of type 2 starts(6, 5) ends(29, 9) in (x, y) format
Feature of type 3 starts(6, 5) ends(29, 9) in (x, y) format
Feature of type 0 starts(6, 5) ends(29, 10) in (x, y) format
Feature of type 1 starts(6, 5) ends(29, 10) in (x, y) format
Feature of type 2 starts(6, 5) ends(29, 10) in (x, y) format
Feature of type 3 starts(6, 5) ends(29, 10) in (x, y) format
Feature of type 0 starts(6, 5) ends(29, 11) in (x, y) format
Feature of type 1 starts(6, 5) ends(29, 11) in (x, y) format
Feature of type 2 starts(6, 5) ends(29, 11) in (x, y) format
Feature of type 3 starts(6, 5) ends(29, 11) in (x, y) format
Feature of type 0 starts(6, 5) ends(30, 9) in (x, y) format
Feature of type 1 starts(6, 5) ends(30, 9) in (x, y) format
Feature of type 2 starts(6, 5) ends(30, 9) in (x, y) format
Feature of type 3 starts(6, 5) ends(30, 9) in (x, y) format
Feature of type 0 starts(6, 5) ends(30, 10) in (x, y) format
Feature of type 1 starts(6, 5) ends(30, 10) in (x, y) format
Feature of type 2 starts(6, 5) ends(30, 10) in (x, y) format
Feature of type 3 starts(6, 5) ends(30, 10) in (x, y) format
Feature of type 0 starts(6, 5) ends(30, 11) in (x, y) format
Feature of type 1 starts(6, 5) ends(30, 11) in (x, y) format
Feature of type 2 starts(6, 5) ends(30, 11) in (x, y) format
Feature of type 3 starts(6, 5) ends(30, 11) in (x, y) format
Feature of type 0 starts(6, 5) ends(31, 9) in (x, y) format
Feature of type 1 starts(6, 5) ends(31, 9) in (x, y) format
Feature of type 2 starts(6, 5) ends(31, 9) in (x, y) format
Feature of type 3 starts(6, 5) ends(31, 9) in (x, y) format
Feature of type 0 starts(6, 5) ends(31, 10) in (x, y) format
Feature of type 1 starts(6, 5) ends(31, 10) in (x, y) format
Feature of type 2 starts(6, 5) ends(31, 10) in (x, y) format
Feature of type 3 starts(6, 5) ends(31, 10) in (x, y) format
Feature of type 0 starts(6, 5) ends(31, 11) in (x, y) format
Feature of type 1 starts(6, 5) ends(31, 11) in (x, y) format
Feature of type 2 starts(6, 5) ends(31, 11) in (x, y) format
Feature of type 3 starts(6, 5) ends(31, 11) in (x, y) format
Feature of type 0 starts(6, 5) ends(31, 9) in (x, y) format
Feature of type 1 starts(6, 5) ends(31, 9) in (x, y) format
Feature of type 2 starts(6, 5) ends(31, 9) in (x, y) format
Feature of type 3 starts(6, 5) ends(31, 9) in (x, y) format
Feature of type 0 starts(6, 5) ends(31, 10) in (x, y) format
Feature of type 1 starts(6, 5) ends(31, 10) in (x, y) format
Feature of type 2 starts(6, 5) ends(31, 10) in (x, y) format
Feature of type 3 starts(6, 5) ends(31, 10) in (x, y) format
Feature of type 0 starts(6, 5) ends(31, 11) in (x, y) format
Feature of type 1 starts(6, 5) ends(31, 11) in (x, y) format
Feature of type 2 starts(6, 5) ends(31, 11) in (x, y) format
Feature of type 3 starts(6, 5) ends(31, 11) in (x, y) format
Feature of type 0 starts(7, 5) ends(26, 9) in (x, y) format
Feature of type 1 starts(7, 5) ends(26, 9) in (x, y) format
Feature of type 2 starts(7, 5) ends(26, 9) in (x, y) format
Feature of type 3 starts(7, 5) ends(26, 9) in (x, y) format
Feature of type 0 starts(7, 5) ends(26, 10) in (x, y) format
Feature of type 1 starts(7, 5) ends(26, 10) in (x, y) format
Feature of type 2 starts(7, 5) ends(26, 10) in (x, y) format
Feature of type 3 starts(7, 5) ends(26, 10) in (x, y) format
Feature of type 0 starts(7, 5) ends(26, 11) in (x, y) format
Feature of type 1 starts(7, 5) ends(26, 11) in (x, y) format
Feature of type 2 starts(7, 5) ends(26, 11) in (x, y) format
Feature of type 3 starts(7, 5) ends(26, 11) in (x, y) format
Feature of type 0 starts(7, 5) ends(27, 9) in (x, y) format
Feature of type 1 starts(7, 5) ends(27, 9) in (x, y) format
Feature of type 2 starts(7, 5) ends(27, 9) in (x, y) format
Feature of type 3 starts(7, 5) ends(27, 9) in (x, y) format
Feature of type 0 starts(7, 5) ends(27, 10) in (x, y) format
Feature of type 1 starts(7, 5) ends(27, 10) in (x, y) format
Feature of type 2 starts(7, 5) ends(27, 10) in (x, y) format
Feature of type 3 starts(7, 5) ends(27, 10) in (x, y) format
Feature of type 0 starts(7, 5) ends(27, 11) in (x, y) format
Feature of type 1 starts(7, 5) ends(27, 11) in (x, y) format
Feature of type 2 starts(7, 5) ends(27, 11) in (x, y) format
Feature of type 3 starts(7, 5) ends(27, 11) in (x, y) format
Feature of type 0 starts(7, 5) ends(28, 9) in (x, y) format
Feature of type 1 starts(7, 5) ends(28, 9) in (x, y) format
Feature of type 2 starts(7, 5) ends(28, 9) in (x, y) format
Feature of type 3 starts(7, 5) ends(28, 9) in (x, y) format
Feature of type 0 starts(7, 5) ends(28, 10) in (x, y) format
Feature of type 1 starts(7, 5) ends(28, 10) in (x, y) format
Feature of type 2 starts(7, 5) ends(28, 10) in (x, y) format
Feature of type 3 starts(7, 5) ends(28, 10) in (x, y) format
Feature of type 0 starts(7, 5) ends(28, 11) in (x, y) format
Feature of type 1 starts(7, 5) ends(28, 11) in (x, y) format
Feature of type 2 starts(7, 5) ends(28, 11) in (x, y) format
Feature of type 3 starts(7, 5) ends(28, 11) in (x, y) format
Feature of type 0 starts(7, 5) ends(29, 9) in (x, y) format
Feature of type 1 starts(7, 5) ends(29, 9) in (x, y) format
Feature of type 2 starts(7, 5) ends(29, 9) in (x, y) format
Feature of type 3 starts(7, 5) ends(29, 9) in (x, y) format
Feature of type 0 starts(7, 5) ends(29, 10) in (x, y) format
Feature of type 1 starts(7, 5) ends(29, 10) in (x, y) format
Feature of type 2 starts(7, 5) ends(29, 10) in (x, y) format
