Feature of type 0 starts(2, 6) ends(24, 10) in (x, y) format
Feature of type 1 starts(2, 6) ends(24, 10) in (x, y) format
Feature of type 2 starts(2, 6) ends(24, 10) in (x, y) format
Feature of type 3 starts(2, 6) ends(24, 10) in (x, y) format
Feature of type 0 starts(2, 6) ends(24, 11) in (x, y) format
Feature of type 1 starts(2, 6) ends(24, 11) in (x, y) format
Feature of type 2 starts(2, 6) ends(24, 11) in (x, y) format
Feature of type 3 starts(2, 6) ends(24, 11) in (x, y) format
Feature of type 0 starts(2, 6) ends(24, 12) in (x, y) format
Feature of type 1 starts(2, 6) ends(24, 12) in (x, y) format
Feature of type 2 starts(2, 6) ends(24, 12) in (x, y) format
Feature of type 3 starts(2, 6) ends(24, 12) in (x, y) format
Feature of type 0 starts(2, 6) ends(25, 10) in (x, y) format
Feature of type 1 starts(2, 6) ends(25, 10) in (x, y) format
Feature of type 2 starts(2, 6) ends(25, 10) in (x, y) format
Feature of type 3 starts(2, 6) ends(25, 10) in (x, y) format
Feature of type 0 starts(2, 6) ends(25, 11) in (x, y) format
Feature of type 1 starts(2, 6) ends(25, 11) in (x, y) format
Feature of type 2 starts(2, 6) ends(25, 11) in (x, y) format
Feature of type 3 starts(2, 6) ends(25, 11) in (x, y) format
Feature of type 0 starts(2, 6) ends(25, 12) in (x, y) format
Feature of type 1 starts(2, 6) ends(25, 12) in (x, y) format
Feature of type 2 starts(2, 6) ends(25, 12) in (x, y) format
Feature of type 3 starts(2, 6) ends(25, 12) in (x, y) format
Feature of type 0 starts(2, 6) ends(26, 10) in (x, y) format
Feature of type 1 starts(2, 6) ends(26, 10) in (x, y) format
Feature of type 2 starts(2, 6) ends(26, 10) in (x, y) format
Feature of type 3 starts(2, 6) ends(26, 10) in (x, y) format
Feature of type 0 starts(2, 6) ends(26, 11) in (x, y) format
Feature of type 1 starts(2, 6) ends(26, 11) in (x, y) format
Feature of type 2 starts(2, 6) ends(26, 11) in (x, y) format
Feature of type 3 starts(2, 6) ends(26, 11) in (x, y) format
Feature of type 0 starts(2, 6) ends(26, 12) in (x, y) format
Feature of type 1 starts(2, 6) ends(26, 12) in (x, y) format
Feature of type 2 starts(2, 6) ends(26, 12) in (x, y) format
Feature of type 3 starts(2, 6) ends(26, 12) in (x, y) format
Feature of type 0 starts(2, 6) ends(27, 10) in (x, y) format
Feature of type 1 starts(2, 6) ends(27, 10) in (x, y) format
Feature of type 2 starts(2, 6) ends(27, 10) in (x, y) format
Feature of type 3 starts(2, 6) ends(27, 10) in (x, y) format
Feature of type 0 starts(2, 6) ends(27, 11) in (x, y) format
Feature of type 1 starts(2, 6) ends(27, 11) in (x, y) format
Feature of type 2 starts(2, 6) ends(27, 11) in (x, y) format
Feature of type 3 starts(2, 6) ends(27, 11) in (x, y) format
Feature of type 0 starts(2, 6) ends(27, 12) in (x, y) format
Feature of type 1 starts(2, 6) ends(27, 12) in (x, y) format
