Index 117->Feature of type 3 starts(7, 5) ends(31, 10) is 0
Index 118->Feature of type 0 starts(3, 6) ends(22, 10) is 0
Index 119->Feature of type 1 starts(3, 6) ends(22, 10) is 0
Index 11a->Feature of type 2 starts(3, 6) ends(22, 10) is 0
Index 11b->Feature of type 3 starts(3, 6) ends(22, 10) is 0
Index 11c->Feature of type 0 starts(3, 6) ends(22, 11) is 0
Index 11d->Feature of type 1 starts(3, 6) ends(22, 11) is 0
Index 11e->Feature of type 2 starts(3, 6) ends(22, 11) is 0
Index 11f->Feature of type 3 starts(3, 6) ends(22, 11) is 0
Index 120->Feature of type 0 starts(3, 6) ends(23, 10) is 0
Index 121->Feature of type 1 starts(3, 6) ends(23, 10) is 0
Index 122->Feature of type 2 starts(3, 6) ends(23, 10) is 0
Index 123->Feature of type 3 starts(3, 6) ends(23, 10) is 0
Index 124->Feature of type 0 starts(3, 6) ends(23, 11) is 0
Index 125->Feature of type 1 starts(3, 6) ends(23, 11) is 0
Index 126->Feature of type 2 starts(3, 6) ends(23, 11) is 0
Index 127->Feature of type 3 starts(3, 6) ends(23, 11) is 0
Index 128->Feature of type 0 starts(3, 6) ends(24, 10) is 0
Index 129->Feature of type 1 starts(3, 6) ends(24, 10) is 0
Index 12a->Feature of type 2 starts(3, 6) ends(24, 10) is 0
Index 12b->Feature of type 3 starts(3, 6) ends(24, 10) is 0
Index 12c->Feature of type 0 starts(3, 6) ends(24, 11) is 0
Index 12d->Feature of type 1 starts(3, 6) ends(24, 11) is 0
Index 12e->Feature of type 2 starts(3, 6) ends(24, 11) is 0
Index 12f->Feature of type 3 starts(3, 6) ends(24, 11) is 0
Index 130->Feature of type 0 starts(3, 6) ends(25, 10) is 0
Index 131->Feature of type 1 starts(3, 6) ends(25, 10) is 0
Index 132->Feature of type 2 starts(3, 6) ends(25, 10) is 0
Index 133->Feature of type 3 starts(3, 6) ends(25, 10) is 0
Index 134->Feature of type 0 starts(3, 6) ends(25, 11) is 0
Index 135->Feature of type 1 starts(3, 6) ends(25, 11) is 0
Index 136->Feature of type 2 starts(3, 6) ends(25, 11) is 0
Index 137->Feature of type 3 starts(3, 6) ends(25, 11) is 0
