[186, 0]
[838, 3.8097457186867206e-05]
[2375, 3.9043977862317357e-05]
[1242, 3.991162181481326e-05]
[1450, 4.031888326190319e-05]
[1594, 4.031888326190319e-05]
[2165, 4.031888326190319e-05]
[2177, 4.031888326190319e-05]
[2189, 4.031888326190319e-05]
[2201, 4.031888326190319e-05]
[2429, 4.031888326190319e-05]
[1294, 4.115885999652618e-05]
[286, 4.2948375648549094e-05]
[1366, 4.398423628571257e-05]
[1378, 4.398423628571257e-05]
[1462, 4.398423628571257e-05]
[2261, 4.398423628571257e-05]
[2273, 4.398423628571257e-05]
[2285, 4.398423628571257e-05]
[2297, 4.398423628571257e-05]
[2746, 4.398423628571257e-05]
[2843, 4.398423628571257e-05]
[2855, 4.398423628571257e-05]
[2867, 4.398423628571257e-05]
[2879, 4.398423628571257e-05]
[850, 4.626119801262447e-05]
[766, 4.7038697138887104e-05]
[2249, 4.7649589309521955e-05]
[167, 4.8642289086803676e-05]
[922, 4.96772314077995e-05]
[742, 5.071825695736237e-05]
[450, 5.131494233333134e-05]
[462, 5.131494233333134e-05]
[474, 5.131494233333134e-05]
[1858, 5.131494233333134e-05]
[2509, 5.131494233333134e-05]
[2593, 5.131494233333134e-05]
[2609, 5.131494233333134e-05]
[2745, 5.131494233333134e-05]
[2757, 5.131494233333134e-05]
[2769, 5.131494233333134e-05]
[2781, 5.131494233333134e-05]
[2831, 5.131494233333134e-05]
[2841, 5.131494233333134e-05]
[2853, 5.131494233333134e-05]
[2865, 5.131494233333134e-05]
[2877, 5.131494233333134e-05]
[862, 5.442493883838173e-05]
[2567, 5.489505458914516e-05]
[1854, 5.498029535714072e-05]
[2345, 5.498029535714072e-05]
[2350, 5.498029535714072e-05]
[2357, 5.498029535714072e-05]
[2441, 5.498029535714072e-05]
[2525, 5.498029535714072e-05]
[2601, 5.498029535714072e-05]
[2742, 5.498029535714072e-05]
[2829, 5.498029535714072e-05]
[1338, 5.587627054073855e-05]
[754, 5.666024882638674e-05]
[1774, 5.8645648380950104e-05]
[1866, 5.8645648380950104e-05]
[1870, 5.8645648380950104e-05]
[1942, 5.8645648380950104e-05]
[1950, 5.8645648380950104e-05]
[1954, 5.8645648380950104e-05]
[2022, 5.8645648380950104e-05]
[2026, 5.8645648380950104e-05]
[2341, 5.8645648380950104e-05]
[2425, 5.8645648380950104e-05]
[2621, 5.8645648380950104e-05]
[1222, 5.9867432722219874e-05]
[1306, 5.9867432722219874e-05]
[2170, 5.9867432722219915e-05]
[2669, 6.114120788652245e-05]
[2681, 6.114120788652245e-05]
[1198, 6.231100140475948e-05]
[1474, 6.231100140475948e-05]
[1770, 6.231100140475948e-05]
[1938, 6.231100140475948e-05]
[2034, 6.231100140475948e-05]
[2038, 6.231100140475948e-05]
[2426, 6.231100140475948e-05]
[2434, 6.231100140475948e-05]
[2594, 6.231100140475948e-05]
[2598, 6.231100140475948e-05]
[2602, 6.231100140475948e-05]
[2633, 6.231100140475948e-05]
[1246, 6.343097038425679e-05]
[71, 6.360914726735866e-05]
[2645, 6.360914726735866e-05]
[83, 6.49625333794301e-05]
[2657, 6.49625333794301e-05]
[269, 6.597635442856886e-05]
[281, 6.597635442856886e-05]
[2349, 6.597635442856886e-05]
[2362, 6.597635442856886e-05]
[2430, 6.597635442856886e-05]
[2446, 6.597635442856886e-05]
[2517, 6.597635442856886e-05]
[2518, 6.597635442856886e-05]
[1330, 6.721083923076664e-05]
[2579, 6.735086181249737e-05]
[185, 6.964170745237823e-05]
[353, 6.964170745237823e-05]
[365, 6.964170745237823e-05]
[377, 6.964170745237823e-05]
[1786, 6.964170745237823e-05]
[2050, 6.964170745237823e-05]
[2346, 6.964170745237823e-05]
[2433, 6.964170745237823e-05]
[2438, 6.964170745237823e-05]
[2442, 6.964170745237823e-05]
[2510, 6.964170745237823e-05]
[2514, 6.964170745237823e-05]
[2522, 6.964170745237823e-05]
[2526, 6.964170745237823e-05]
[2530, 6.964170745237823e-05]
[2606, 6.964170745237823e-05]
[2610, 6.964170745237823e-05]
[2614, 6.964170745237823e-05]
[2618, 6.964170745237823e-05]
[2622, 6.964170745237823e-05]
[2626, 6.964170745237823e-05]
[2471, 7.075242048989626e-05]
[1210, 7.109257635763615e-05]
[2591, 7.184091926666385e-05]
[1486, 7.260518436524541e-05]
[1782, 7.330706047618761e-05]
[1878, 7.330706047618761e-05]
[1962, 7.330706047618761e-05]
[2046, 7.330706047618761e-05]
[2353, 7.330706047618761e-05]
[2358, 7.330706047618761e-05]
[2437, 7.330706047618761e-05]
[2521, 7.330706047618761e-05]
[2534, 7.330706047618761e-05]
[2605, 7.330706047618761e-05]
[1342, 7.34088758379601e-05]
[251, 7.48342909027749e-05]
[2058, 7.48342909027749e-05]
[2062, 7.48342909027749e-05]
[1390, 7.51527346938505e-05]
[1917, 7.545790999363129e-05]
[1498, 7.577904274805906e-05]
[271, 7.697241349999699e-05]
[449, 7.697241349999699e-05]
[461, 7.697241349999699e-05]
[473, 7.697241349999699e-05]
[521, 7.697241349999699e-05]
[533, 7.697241349999699e-05]
[545, 7.697241349999699e-05]
[557, 7.697241349999699e-05]
[569, 7.697241349999699e-05]
[1794, 7.697241349999699e-05]
[2342, 7.697241349999699e-05]
[2354, 7.697241349999699e-05]
[2366, 7.697241349999699e-05]
[2474, 7.697241349999699e-05]
[2486, 7.697241349999699e-05]
[2603, 7.697241349999699e-05]
[2634, 7.697241349999699e-05]
[2642, 7.697241349999699e-05]
[1895, 7.697241349999708e-05]
[1883, 7.808795572463473e-05]
[2651, 7.857600544791365e-05]
[2074, 7.995584037984185e-05]
[2661, 8.024783535106072e-05]
[2673, 8.024783535106072e-05]
[2685, 8.024783535106072e-05]
[437, 8.063776652380636e-05]
[2378, 8.063776652380636e-05]
[2450, 8.063776652380636e-05]
[2462, 8.063776652380636e-05]
[2529, 8.063776652380636e-05]
[2546, 8.063776652380636e-05]
[2607, 8.063776652380636e-05]
[2613, 8.063776652380636e-05]
[2630, 8.063776652380636e-05]
[2747, 8.063776652380636e-05]
[2759, 8.063776652380636e-05]
[2771, 8.063776652380636e-05]
[2783, 8.063776652380636e-05]
[1811, 8.124865869444136e-05]
[1799, 8.199235351086646e-05]
[1880, 8.199235351086646e-05]
[2070, 8.299803172853215e-05]
[2387, 8.299803172853215e-05]
[2383, 8.381440581110783e-05]
[95, 8.394455240398233e-05]
[1247, 8.409948882407079e-05]
[2361, 8.430311954761574e-05]
[2363, 8.430311954761574e-05]
[2389, 8.430311954761574e-05]
[2473, 8.430311954761574e-05]
[2531, 8.430311954761574e-05]
[2545, 8.430311954761574e-05]
[2557, 8.430311954761574e-05]
[2615, 8.430311954761574e-05]
[2627, 8.430311954761574e-05]
[2641, 8.430311954761574e-05]
[1234, 8.56639687732578e-05]
[1318, 8.56639687732578e-05]
[1914, 8.56639687732578e-05]
[2649, 8.605943453819114e-05]
[1426, 8.743796094955796e-05]
