1434->Feature of type 2 starts(5, 7) ends(31, 12) in (x, y) format
670->Feature of type 2 starts(3, 6) ends(29, 12) in (x, y) format
2459->Feature of type 3 starts(4, 9) ends(27, 15) in (x, y) format
2543->Feature of type 3 starts(5, 9) ends(27, 15) in (x, y) format
730->Feature of type 2 starts(4, 6) ends(27, 12) in (x, y) format
2555->Feature of type 3 starts(5, 9) ends(28, 15) in (x, y) format
1282->Feature of type 2 starts(4, 7) ends(25, 13) in (x, y) format
2166->Feature of type 2 starts(7, 8) ends(30, 13) in (x, y) format
838->Feature of type 2 starts(5, 6) ends(29, 12) in (x, y) format
2375->Feature of type 3 starts(3, 9) ends(27, 15) in (x, y) format
1242->Feature of type 2 starts(3, 7) ends(29, 12) in (x, y) format
1450->Feature of type 2 starts(6, 7) ends(25, 13) in (x, y) format
1594->Feature of type 2 starts(7, 7) ends(30, 13) in (x, y) format
2165->Feature of type 1 starts(7, 8) ends(30, 13) in (x, y) format
2177->Feature of type 1 starts(7, 8) ends(31, 13) in (x, y) format
2189->Feature of type 1 starts(7, 8) ends(31, 13) in (x, y) format
2201->Feature of type 1 starts(7, 8) ends(31, 13) in (x, y) format
2429->Feature of type 1 starts(4, 9) ends(25, 14) in (x, y) format
1294->Feature of type 2 starts(4, 7) ends(26, 13) in (x, y) format
286->Feature of type 2 starts(5, 5) ends(31, 11) in (x, y) format
1366->Feature of type 2 starts(5, 7) ends(25, 13) in (x, y) format
1378->Feature of type 2 starts(5, 7) ends(26, 13) in (x, y) format
1462->Feature of type 2 starts(6, 7) ends(26, 13) in (x, y) format
2261->Feature of type 1 starts(8, 8) ends(31, 13) in (x, y) format
2273->Feature of type 1 starts(8, 8) ends(31, 13) in (x, y) format
2285->Feature of type 1 starts(8, 8) ends(31, 13) in (x, y) format
2297->Feature of type 1 starts(8, 8) ends(31, 13) in (x, y) format
2746->Feature of type 2 starts(7, 9) ends(30, 15) in (x, y) format
2843->Feature of type 3 starts(8, 9) ends(31, 15) in (x, y) format
2855->Feature of type 3 starts(8, 9) ends(31, 15) in (x, y) format
2867->Feature of type 3 starts(8, 9) ends(31, 15) in (x, y) format
2879->Feature of type 3 starts(8, 9) ends(31, 15) in (x, y) format
850->Feature of type 2 starts(5, 6) ends(30, 12) in (x, y) format
766->Feature of type 2 starts(4, 6) ends(30, 12) in (x, y) format
2249->Feature of type 1 starts(8, 8) ends(30, 13) in (x, y) format
167->Feature of type 3 starts(4, 5) ends(28, 11) in (x, y) format
922->Feature of type 2 starts(6, 6) ends(29, 12) in (x, y) format
742->Feature of type 2 starts(4, 6) ends(28, 12) in (x, y) format
450->Feature of type 2 starts(7, 5) ends(31, 10) in (x, y) format
462->Feature of type 2 starts(7, 5) ends(31, 10) in (x, y) format
474->Feature of type 2 starts(7, 5) ends(31, 10) in (x, y) format
1858->Feature of type 2 starts(4, 8) ends(25, 14) in (x, y) format
2509->Feature of type 1 starts(5, 9) ends(25, 13) in (x, y) format
2593->Feature of type 1 starts(6, 9) ends(25, 13) in (x, y) format
2609->Feature of type 1 starts(6, 9) ends(26, 14) in (x, y) format
2745->Feature of type 1 starts(7, 9) ends(30, 15) in (x, y) format
2757->Feature of type 1 starts(7, 9) ends(31, 15) in (x, y) format
2769->Feature of type 1 starts(7, 9) ends(31, 15) in (x, y) format
2781->Feature of type 1 starts(7, 9) ends(31, 15) in (x, y) format
2831->Feature of type 3 starts(8, 9) ends(30, 15) in (x, y) format
