[1878, 7.132998241106971e-05]
[1879, 0.0001426599648221394]
[1880, 7.978103467498989e-05]
[1881, 0.00011397290667855698]
[1882, 0.0001120733582339144]
[1883, 7.598193778570466e-05]
[1888, 0.00011777200356784225]
[1889, 0.00016905981157319292]
[1890, 0.00011587245512319962]
[1891, 0.00013296839112498322]
[1892, 0.00012066655357872623]
[1893, 0.00011234472229743473]
[1894, 0.00014043090287179345]
[1895, 7.489648153162316e-05]
[1900, 9.466083082469041e-05]
[1901, 0.00017475845690712074]
[1902, 8.84194573637218e-05]
[1903, 0.00010818380665678904]
[1904, 0.00011068035604117646]
[1905, 0.00011359299698962854]
[1906, 0.0001631078931133127]
[1907, 0.0001252435607834365]
[1912, 0.00012929284210201617]
[1913, 0.0001586560516636462]
[1914, 8.335362714269173e-05]
[1915, 0.00011413763716698128]
[1916, 0.00013713684465628228]
[1917, 7.342282390889447e-05]
[1918, 0.00018750126105659848]
[1919, 0.00015716125117688987]
[1936, 0.00016762545866601386]
[1937, 0.0001355269665810324]
[1938, 6.063048504940926e-05]
[1939, 0.0001390934657015859]
[1940, 0.00017475845690712084]
[1941, 9.629547625494408e-05]
[1942, 5.7063985928855774e-05]
[1943, 0.00015335946218379988]
[1948, 0.00015692596130435337]
[1949, 0.0001355269665810324]
[1950, 5.7063985928855774e-05]
[1951, 0.0001426599648221394]
[1952, 0.00015692596130435337]
[1953, 9.986197537549756e-05]
[1954, 5.7063985928855774e-05]
[1955, 0.00014979296306324638]
[1960, 0.00014979296306324638]
[1961, 0.0001426599648221394]
[1962, 7.132998241106971e-05]
[1963, 0.0001355269665810324]
[1964, 0.0001443656817928389]
[1965, 0.00011397290667855698]
[1966, 0.0001120733582339144]
[1967, 9.687697067677346e-05]
[1972, 0.00012537019734641273]
[1973, 0.00016526071468390768]
[1974, 0.00011967155201248486]
[1975, 0.00013296839112498322]
[1976, 0.0001289883848600177]
[1977, 0.00013418952941082483]
[1978, 0.00014043090287179345]
[1979, 8.84194573637218e-05]
[1984, 0.00015291364979373064]
