FeatureIndex Pos Neg
716 0 1
720 0 1
724 0 1
728 0 1
732 0 1
736 0 1
740 0 1
744 0 1
748 0 1
752 0 1
756 0 1
760 0 1
764 0 1
768 0 1
772 0 1
776 0 1
780 0 1
784 0 1
788 0 1
792 0.0447252 0.955275
796 0.0443837 0.955616
800 0.0419939 0.958006
804 0.0341413 0.965859
808 0.0170707 0.982929
812 0.00477979 0.99522
816 0.00102424 0.998976
820 0 1
824 0 1
828 0 1
832 0 1
836 0.0437009 0.956299
840 0.0437009 0.956299
844 0.0416524 0.958348
848 0.0341413 0.965859
852 0.0170707 0.982929
856 0.00477979 0.99522
860 0.00102424 0.998976
864 0 1
868 0 1
872 0 1
876 0 1
880 0.0334585 0.966541
884 0.0334585 0.966541
888 0.0334585 0.966541
892 0.0290201 0.97098
896 0.0160464 0.983954
900 0.00477979 0.99522
904 0.00102424 0.998976
908 0 1
912 0 1
916 0 1
920 0 1
924 0.0129737 0.987026
928 0.0129737 0.987026
932 0.0129737 0.987026
936 0.0126323 0.987368
940 0.00853534 0.991465
944 0.00409696 0.995903
948 0.00102424 0.998976
952 0 1
956 0 1
960 0 1
964 0 1
968 0.00443837 0.995562
972 0.00443837 0.995562
976 0.00443837 0.995562
980 0.00443837 0.995562
984 0.00443837 0.995562
988 0.00238989 0.99761
992 0.00102424 0.998976
996 0 1
1000 0 1
1004 0 1
1008 0 1
1012 0.00136565 0.998634
1016 0.00136565 0.998634
1020 0.00136565 0.998634
1024 0.00136565 0.998634
1028 0.00136565 0.998634
1032 0.00102424 0.998976
1036 0.000682827 0.999317
1040 0 1
1044 0 1
1048 0 1
1052 0 1
1056 0.000682827 0.999317
1060 0.000682827 0.999317
1064 0.000682827 0.999317
1068 0.000682827 0.999317
1072 0.000682827 0.999317
1076 0.000682827 0.999317
1080 0.000682827 0.999317
1084 0 1
1088 0 1
1092 0 1
1096 0 1
1100 0 1
1104 0 1
1108 0 1
1112 0 1
1116 0 1
1120 0 1
1124 0 1
1128 0 1
1132 0 1
1136 0 1
1140 0 1
1144 0 1
1148 0 1
1152 0 1
1156 0 1
1160 0 1
1164 0 1
1168 0 1
1172 0 1
1176 0 1
1180 0 1
1184 0 1
1188 0.057016 0.942984
1192 0.0566746 0.943325
1196 0.0542847 0.945715
1200 0.0464322 0.953568
1204 0.0290201 0.97098
1208 0.0129737 0.987026
