2086->Feature of type 2 starts(4, 8) ends(25, 14) in (x, y) format
2429->Feature of type 1 starts(7, 8) ends(30, 13) in (x, y) format
2441->Feature of type 1 starts(7, 8) ends(31, 13) in (x, y) format
2453->Feature of type 1 starts(7, 8) ends(31, 13) in (x, y) format
2465->Feature of type 1 starts(7, 8) ends(31, 13) in (x, y) format
2477->Feature of type 1 starts(7, 8) ends(31, 13) in (x, y) format
498->Feature of type 2 starts(5, 6) ends(29, 11) in (x, y) format
4939->Feature of type 3 starts(6, 11) ends(31, 16) in (x, y) format
4951->Feature of type 3 starts(6, 11) ends(31, 16) in (x, y) format
4963->Feature of type 3 starts(6, 11) ends(31, 16) in (x, y) format
4832->Feature of type 0 starts(5, 11) ends(30, 17) in (x, y) format
514->Feature of type 2 starts(5, 6) ends(30, 12) in (x, y) format
2094->Feature of type 2 starts(4, 8) ends(26, 13) in (x, y) format
2098->Feature of type 2 starts(4, 8) ends(26, 14) in (x, y) format
2182->Feature of type 2 starts(5, 8) ends(25, 14) in (x, y) format
2190->Feature of type 2 starts(5, 8) ends(26, 13) in (x, y) format
2194->Feature of type 2 starts(5, 8) ends(26, 14) in (x, y) format
2274->Feature of type 2 starts(6, 8) ends(25, 13) in (x, y) format
2278->Feature of type 2 starts(6, 8) ends(25, 14) in (x, y) format
2537->Feature of type 1 starts(8, 8) ends(31, 13) in (x, y) format
2549->Feature of type 1 starts(8, 8) ends(31, 13) in (x, y) format
2561->Feature of type 1 starts(8, 8) ends(31, 13) in (x, y) format
2573->Feature of type 1 starts(8, 8) ends(31, 13) in (x, y) format
2585->Feature of type 1 starts(8, 8) ends(31, 13) in (x, y) format
2854->Feature of type 2 starts(3, 9) ends(25, 15) in (x, y) format
2945->Feature of type 1 starts(4, 9) ends(25, 14) in (x, y) format
4940->Feature of type 0 starts(6, 11) ends(31, 17) in (x, y) format
4952->Feature of type 0 starts(6, 11) ends(31, 17) in (x, y) format
4964->Feature of type 0 starts(6, 11) ends(31, 17) in (x, y) format
4748->Feature of type 0 starts(4, 11) ends(31, 17) in (x, y) format
4820->Feature of type 0 starts(5, 11) ends(29, 17) in (x, y) format
4828->Feature of type 0 starts(5, 11) ends(30, 16) in (x, y) format
526->Feature of type 2 starts(5, 6) ends(31, 12) in (x, y) format
538->Feature of type 2 starts(5, 6) ends(31, 12) in (x, y) format
958->Feature of type 2 starts(1, 7) ends(27, 13) in (x, y) format
1798->Feature of type 2 starts(1, 8) ends(25, 14) in (x, y) format
1986->Feature of type 2 starts(3, 8) ends(25, 13) in (x, y) format
1990->Feature of type 2 starts(3, 8) ends(25, 14) in (x, y) format
2178->Feature of type 2 starts(5, 8) ends(25, 13) in (x, y) format
2286->Feature of type 2 starts(6, 8) ends(26, 13) in (x, y) format
2290->Feature of type 2 starts(6, 8) ends(26, 14) in (x, y) format
2525->Feature of type 1 starts(8, 8) ends(30, 13) in (x, y) format
2662->Feature of type 2 starts(1, 9) ends(25, 15) in (x, y) format
2942->Feature of type 2 starts(4, 9) ends(25, 13) in (x, y) format
2950->Feature of type 2 starts(4, 9) ends(25, 15) in (x, y) format
3134->Feature of type 2 starts(6, 9) ends(25, 13) in (x, y) format
3138->Feature of type 2 starts(6, 9) ends(25, 14) in (x, y) format
3142->Feature of type 2 starts(6, 9) ends(25, 15) in (x, y) format
5013->Feature of type 1 starts(7, 11) ends(29, 17) in (x, y) format
5025->Feature of type 1 starts(7, 11) ends(30, 17) in (x, y) format
5037->Feature of type 1 starts(7, 11) ends(31, 17) in (x, y) format
5049->Feature of type 1 starts(7, 11) ends(31, 17) in (x, y) format
5061->Feature of type 1 starts(7, 11) ends(31, 17) in (x, y) format
5073->Feature of type 1 starts(7, 11) ends(31, 17) in (x, y) format
3311->Feature of type 3 starts(7, 9) ends(31, 15) in (x, y) format
3323->Feature of type 3 starts(7, 9) ends(31, 15) in (x, y) format
3335->Feature of type 3 starts(7, 9) ends(31, 15) in (x, y) format
3347->Feature of type 3 starts(7, 9) ends(31, 15) in (x, y) format
4427->Feature of type 3 starts(1, 11) ends(28, 17) in (x, y) format
4924->Feature of type 0 starts(6, 11) ends(30, 16) in (x, y) format
4928->Feature of type 0 starts(6, 11) ends(30, 17) in (x, y) format
4936->Feature of type 0 starts(6, 11) ends(31, 16) in (x, y) format
4948->Feature of type 0 starts(6, 11) ends(31, 16) in (x, y) format
4960->Feature of type 0 starts(6, 11) ends(31, 16) in (x, y) format
4736->Feature of type 0 starts(4, 11) ends(30, 17) in (x, y) format
4844->Feature of type 0 starts(5, 11) ends(31, 17) in (x, y) format
4856->Feature of type 0 starts(5, 11) ends(31, 17) in (x, y) format
1906->Feature of type 2 starts(2, 8) ends(26, 14) in (x, y) format
2770->Feature of type 2 starts(2, 9) ends(26, 15) in (x, y) format
2866->Feature of type 2 starts(3, 9) ends(26, 15) in (x, y) format
2946->Feature of type 2 starts(4, 9) ends(25, 14) in (x, y) format
2962->Feature of type 2 starts(4, 9) ends(26, 15) in (x, y) format
3149->Feature of type 1 starts(6, 9) ends(26, 14) in (x, y) format
4893->Feature of type 1 starts(6, 11) ends(27, 17) in (x, y) format
4905->Feature of type 1 starts(6, 11) ends(28, 17) in (x, y) format
1054->Feature of type 2 starts(2, 7) ends(27, 13) in (x, y) format
1150->Feature of type 2 starts(3, 7) ends(27, 13) in (x, y) format
1246->Feature of type 2 starts(4, 7) ends(27, 13) in (x, y) format
1462->Feature of type 2 starts(6, 7) ends(29, 13) in (x, y) format
1042->Feature of type 2 starts(2, 7) ends(26, 13) in (x, y) format
4413->Feature of type 1 starts(1, 11) ends(27, 17) in (x, y) format
