[0, [0, 0, inf], [0, 0, inf]]
[287, [18, -88460.1152263335, 0.591715976331361], [19, 12443.544303798117, 1.0]]
[288, [0, 0, inf], [0, 0, inf]]
[289, [0, 0, inf], [0, 0, inf]]
[290, [0, 0, inf], [0, 0, inf]]
[291, [0, 0, inf], [0, 0, inf]]
[292, [0, 0, inf], [22, 553989.0443349774, 0.0877914951989026]]
[293, [22, -1541871.605911333, 0.00041649312786339016], [0, 0, inf]]
[294, [22, -1191270.1477832524, 0.0016659725114535606], [0, 0, inf]]
[295, [22, -88457.45812808303, 0.22145328719723184], [0, 0, inf]]
[296, [19, -158724.32067510858, 0.30250000000000005], [47, 457717.22105263313, 0.35590277777777773]]
[297, [18, -781038.0905349776, 0.002379535990481856], [0, 0, inf]]
[298, [21, -1283833.435897436, 0.008264462809917356], [0, 0, inf]]
[299, [22, -226631.88177339686, 0.5766758494031221], [19, 9.313225746154785e-10, 1.0]]
[300, [0, 0, inf], [0, 0, inf]]
[301, [0, 0, inf], [0, 0, inf]]
[302, [0, 0, inf], [0, 0, inf]]
[303, [0, 0, inf], [0, 0, inf]]
[304, [0, 0, inf], [14, 96759.95811518561, 0.7346938775510203]]
[305, [22, -1569958.4630541904, 0.0], [0, 0, inf]]
[306, [14, -1229743.58115183, 0.00390625], [0, 0, inf]]
[307, [22, -10007.960591136478, 0.7901234567901234], [14, 190088.7120418828, 0.28994082840236685]]
[308, [46, -380483.2914285688, 0.4444444444444445], [14, 158178.51308900118, 0.7159763313609467]]
[309, [18, -844146.8312757174, 0.0], [0, 0, inf]]
[310, [21, -1400117.8256410249, 0.01352082206598161], [0, 0, inf]]
[311, [19, -77703.02109704819, 0.601111111111111], [46, 97367.77142855711, 0.8824609733700643]]
[312, [0, 0, inf], [0, 0, inf]]
[313, [0, 0, inf], [0, 0, inf]]
[314, [0, 0, inf], [0, 0, inf]]
[315, [0, 0, inf], [0, 0, inf]]
[316, [0, 0, inf], [22, 233411.46798029635, 0.37345679012345684]]
[317, [22, -1580289.2610837482, 0.0], [0, 0, inf]]
[318, [14, -957305.9685863885, 0.027777777777777776], [0, 0, inf]]
[319, [22, -20338.75862069335, 0.6944444444444445], [14, 132444.48167539202, 0.37345679012345684]]
[320, [46, -324684.0685714269, 0.2688614540466392], [18, 105720.62551440578, 0.72265625]]
[321, [46, -904396.8000000101, 0.0], [0, 0, inf]]
[322, [47, -1162746.6105263191, 0.12641140826260197], [0, 0, inf]]
