Index 181->Feature of type 1 starts(2, 6) ends(27, 10) in (x, y) format
Index 182->Feature of type 2 starts(2, 6) ends(27, 10) in (x, y) format
Index 183->Feature of type 3 starts(2, 6) ends(27, 10) in (x, y) format
Index 184->Feature of type 0 starts(2, 6) ends(27, 11) in (x, y) format
Index 185->Feature of type 1 starts(2, 6) ends(27, 11) in (x, y) format
Index 186->Feature of type 2 starts(2, 6) ends(27, 11) in (x, y) format
Index 187->Feature of type 3 starts(2, 6) ends(27, 11) in (x, y) format
Index 188->Feature of type 0 starts(2, 6) ends(27, 12) in (x, y) format
Index 189->Feature of type 1 starts(2, 6) ends(27, 12) in (x, y) format
Index 190->Feature of type 2 starts(2, 6) ends(27, 12) in (x, y) format
Index 191->Feature of type 3 starts(2, 6) ends(27, 12) in (x, y) format
Index 192->Feature of type 0 starts(2, 6) ends(28, 10) in (x, y) format
Index 193->Feature of type 1 starts(2, 6) ends(28, 10) in (x, y) format
Index 194->Feature of type 2 starts(2, 6) ends(28, 10) in (x, y) format
Index 195->Feature of type 3 starts(2, 6) ends(28, 10) in (x, y) format
Index 196->Feature of type 0 starts(2, 6) ends(28, 11) in (x, y) format
Index 197->Feature of type 1 starts(2, 6) ends(28, 11) in (x, y) format
Index 198->Feature of type 2 starts(2, 6) ends(28, 11) in (x, y) format
Index 199->Feature of type 3 starts(2, 6) ends(28, 11) in (x, y) format
Index 200->Feature of type 0 starts(2, 6) ends(28, 12) in (x, y) format
Index 201->Feature of type 1 starts(2, 6) ends(28, 12) in (x, y) format
Index 202->Feature of type 2 starts(2, 6) ends(28, 12) in (x, y) format
Index 203->Feature of type 3 starts(2, 6) ends(28, 12) in (x, y) format
Index 204->Feature of type 0 starts(2, 6) ends(29, 10) in (x, y) format
Index 205->Feature of type 1 starts(2, 6) ends(29, 10) in (x, y) format
Index 206->Feature of type 2 starts(2, 6) ends(29, 10) in (x, y) format
Index 207->Feature of type 3 starts(2, 6) ends(29, 10) in (x, y) format
Index 208->Feature of type 0 starts(2, 6) ends(29, 11) in (x, y) format
Index 209->Feature of type 1 starts(2, 6) ends(29, 11) in (x, y) format
Index 210->Feature of type 2 starts(2, 6) ends(29, 11) in (x, y) format
Index 211->Feature of type 3 starts(2, 6) ends(29, 11) in (x, y) format
Index 212->Feature of type 0 starts(2, 6) ends(29, 12) in (x, y) format
Index 213->Feature of type 1 starts(2, 6) ends(29, 12) in (x, y) format
Index 214->Feature of type 2 starts(2, 6) ends(29, 12) in (x, y) format
Index 215->Feature of type 3 starts(2, 6) ends(29, 12) in (x, y) format
Index 216->Feature of type 0 starts(3, 6) ends(22, 10) in (x, y) format
Index 217->Feature of type 1 starts(3, 6) ends(22, 10) in (x, y) format
Index 218->Feature of type 2 starts(3, 6) ends(22, 10) in (x, y) format
Index 219->Feature of type 3 starts(3, 6) ends(22, 10) in (x, y) format
Index 220->Feature of type 0 starts(3, 6) ends(22, 11) in (x, y) format
Index 221->Feature of type 1 starts(3, 6) ends(22, 11) in (x, y) format
Index 222->Feature of type 2 starts(3, 6) ends(22, 11) in (x, y) format
Index 223->Feature of type 3 starts(3, 6) ends(22, 11) in (x, y) format
Index 224->Feature of type 0 starts(3, 6) ends(22, 12) in (x, y) format
Index 225->Feature of type 1 starts(3, 6) ends(22, 12) in (x, y) format
Index 226->Feature of type 2 starts(3, 6) ends(22, 12) in (x, y) format
Index 227->Feature of type 3 starts(3, 6) ends(22, 12) in (x, y) format
Index 228->Feature of type 0 starts(3, 6) ends(23, 10) in (x, y) format
Index 229->Feature of type 1 starts(3, 6) ends(23, 10) in (x, y) format
Index 230->Feature of type 2 starts(3, 6) ends(23, 10) in (x, y) format
Index 231->Feature of type 3 starts(3, 6) ends(23, 10) in (x, y) format
Index 232->Feature of type 0 starts(3, 6) ends(23, 11) in (x, y) format
Index 233->Feature of type 1 starts(3, 6) ends(23, 11) in (x, y) format
Index 234->Feature of type 2 starts(3, 6) ends(23, 11) in (x, y) format
Index 235->Feature of type 3 starts(3, 6) ends(23, 11) in (x, y) format
Index 236->Feature of type 0 starts(3, 6) ends(23, 12) in (x, y) format
Index 237->Feature of type 1 starts(3, 6) ends(23, 12) in (x, y) format
Index 238->Feature of type 2 starts(3, 6) ends(23, 12) in (x, y) format
Index 239->Feature of type 3 starts(3, 6) ends(23, 12) in (x, y) format
Index 240->Feature of type 0 starts(3, 6) ends(24, 10) in (x, y) format
Index 241->Feature of type 1 starts(3, 6) ends(24, 10) in (x, y) format
Index 242->Feature of type 2 starts(3, 6) ends(24, 10) in (x, y) format
Index 243->Feature of type 3 starts(3, 6) ends(24, 10) in (x, y) format
Index 244->Feature of type 0 starts(3, 6) ends(24, 11) in (x, y) format
Index 245->Feature of type 1 starts(3, 6) ends(24, 11) in (x, y) format
Index 246->Feature of type 2 starts(3, 6) ends(24, 11) in (x, y) format
Index 247->Feature of type 3 starts(3, 6) ends(24, 11) in (x, y) format
Index 248->Feature of type 0 starts(3, 6) ends(24, 12) in (x, y) format
Index 249->Feature of type 1 starts(3, 6) ends(24, 12) in (x, y) format
Index 250->Feature of type 2 starts(3, 6) ends(24, 12) in (x, y) format
Index 251->Feature of type 3 starts(3, 6) ends(24, 12) in (x, y) format
Index 252->Feature of type 0 starts(3, 6) ends(25, 10) in (x, y) format
Index 253->Feature of type 1 starts(3, 6) ends(25, 10) in (x, y) format
Index 254->Feature of type 2 starts(3, 6) ends(25, 10) in (x, y) format
Index 255->Feature of type 3 starts(3, 6) ends(25, 10) in (x, y) format
Index 256->Feature of type 0 starts(3, 6) ends(25, 11) in (x, y) format
Index 257->Feature of type 1 starts(3, 6) ends(25, 11) in (x, y) format
Index 258->Feature of type 2 starts(3, 6) ends(25, 11) in (x, y) format
Index 259->Feature of type 3 starts(3, 6) ends(25, 11) in (x, y) format
Index 260->Feature of type 0 starts(3, 6) ends(25, 12) in (x, y) format
Index 261->Feature of type 1 starts(3, 6) ends(25, 12) in (x, y) format
Index 262->Feature of type 2 starts(3, 6) ends(25, 12) in (x, y) format
Index 263->Feature of type 3 starts(3, 6) ends(25, 12) in (x, y) format
Index 264->Feature of type 0 starts(3, 6) ends(26, 10) in (x, y) format
Index 265->Feature of type 1 starts(3, 6) ends(26, 10) in (x, y) format
Index 266->Feature of type 2 starts(3, 6) ends(26, 10) in (x, y) format
Index 267->Feature of type 3 starts(3, 6) ends(26, 10) in (x, y) format
Index 268->Feature of type 0 starts(3, 6) ends(26, 11) in (x, y) format
Index 269->Feature of type 1 starts(3, 6) ends(26, 11) in (x, y) format
Index 270->Feature of type 2 starts(3, 6) ends(26, 11) in (x, y) format
Index 271->Feature of type 3 starts(3, 6) ends(26, 11) in (x, y) format
Index 272->Feature of type 0 starts(3, 6) ends(26, 12) in (x, y) format
Index 273->Feature of type 1 starts(3, 6) ends(26, 12) in (x, y) format
Index 274->Feature of type 2 starts(3, 6) ends(26, 12) in (x, y) format
Index 275->Feature of type 3 starts(3, 6) ends(26, 12) in (x, y) format
Index 276->Feature of type 0 starts(3, 6) ends(27, 10) in (x, y) format
Index 277->Feature of type 1 starts(3, 6) ends(27, 10) in (x, y) format
Index 278->Feature of type 2 starts(3, 6) ends(27, 10) in (x, y) format
Index 279->Feature of type 3 starts(3, 6) ends(27, 10) in (x, y) format
Index 280->Feature of type 0 starts(3, 6) ends(27, 11) in (x, y) format
Index 281->Feature of type 1 starts(3, 6) ends(27, 11) in (x, y) format
Index 282->Feature of type 2 starts(3, 6) ends(27, 11) in (x, y) format
Index 283->Feature of type 3 starts(3, 6) ends(27, 11) in (x, y) format
Index 284->Feature of type 0 starts(3, 6) ends(27, 12) in (x, y) format
Index 285->Feature of type 1 starts(3, 6) ends(27, 12) in (x, y) format
Index 286->Feature of type 2 starts(3, 6) ends(27, 12) in (x, y) format
Index 287->Feature of type 3 starts(3, 6) ends(27, 12) in (x, y) format
Index 288->Feature of type 0 starts(3, 6) ends(28, 10) in (x, y) format
Index 289->Feature of type 1 starts(3, 6) ends(28, 10) in (x, y) format
Index 290->Feature of type 2 starts(3, 6) ends(28, 10) in (x, y) format
Index 291->Feature of type 3 starts(3, 6) ends(28, 10) in (x, y) format
Index 292->Feature of type 0 starts(3, 6) ends(28, 11) in (x, y) format
Index 293->Feature of type 1 starts(3, 6) ends(28, 11) in (x, y) format
Index 294->Feature of type 2 starts(3, 6) ends(28, 11) in (x, y) format
Index 295->Feature of type 3 starts(3, 6) ends(28, 11) in (x, y) format
Index 296->Feature of type 0 starts(3, 6) ends(28, 12) in (x, y) format
Index 297->Feature of type 1 starts(3, 6) ends(28, 12) in (x, y) format
Index 298->Feature of type 2 starts(3, 6) ends(28, 12) in (x, y) format
Index 299->Feature of type 3 starts(3, 6) ends(28, 12) in (x, y) format
Index 300->Feature of type 0 starts(3, 6) ends(29, 10) in (x, y) format
Index 301->Feature of type 1 starts(3, 6) ends(29, 10) in (x, y) format
Index 302->Feature of type 2 starts(3, 6) ends(29, 10) in (x, y) format
Index 303->Feature of type 3 starts(3, 6) ends(29, 10) in (x, y) format
Index 304->Feature of type 0 starts(3, 6) ends(29, 11) in (x, y) format
Index 305->Feature of type 1 starts(3, 6) ends(29, 11) in (x, y) format
Index 306->Feature of type 2 starts(3, 6) ends(29, 11) in (x, y) format
Index 307->Feature of type 3 starts(3, 6) ends(29, 11) in (x, y) format
Index 308->Feature of type 0 starts(3, 6) ends(29, 12) in (x, y) format
Index 309->Feature of type 1 starts(3, 6) ends(29, 12) in (x, y) format
Index 310->Feature of type 2 starts(3, 6) ends(29, 12) in (x, y) format
