[465, <Feature of type 1 starts(3, 9) ends(28, 15) is 0>]
[466, <Feature of type 2 starts(3, 9) ends(28, 15) is 0>]
[467, <Feature of type 3 starts(3, 9) ends(28, 15) is 0>]
[468, <Feature of type 0 starts(3, 9) ends(29, 13) is 0>]
[469, <Feature of type 1 starts(3, 9) ends(29, 13) is 0>]
[470, <Feature of type 2 starts(3, 9) ends(29, 13) is 0>]
[471, <Feature of type 3 starts(3, 9) ends(29, 13) is 0>]
[472, <Feature of type 0 starts(3, 9) ends(29, 14) is 0>]
[473, <Feature of type 1 starts(3, 9) ends(29, 14) is 0>]
[474, <Feature of type 2 starts(3, 9) ends(29, 14) is 0>]
[475, <Feature of type 3 starts(3, 9) ends(29, 14) is 0>]
[476, <Feature of type 0 starts(3, 9) ends(29, 15) is 0>]
[477, <Feature of type 1 starts(3, 9) ends(29, 15) is 0>]
[478, <Feature of type 2 starts(3, 9) ends(29, 15) is 0>]
[479, <Feature of type 3 starts(3, 9) ends(29, 15) is 0>]
[536, <Feature of type 0 starts(4, 5) ends(27, 11) is 0>]
[537, <Feature of type 1 starts(4, 5) ends(27, 11) is 0>]
[538, <Feature of type 2 starts(4, 5) ends(27, 11) is 0>]
[539, <Feature of type 3 starts(4, 5) ends(27, 11) is 0>]
[548, <Feature of type 0 starts(4, 5) ends(28, 11) is 1>]
[549, <Feature of type 1 starts(4, 5) ends(28, 11) is 1>]
[550, <Feature of type 2 starts(4, 5) ends(28, 11) is 1>]
[551, <Feature of type 3 starts(4, 5) ends(28, 11) is 1>]
[560, <Feature of type 0 starts(4, 5) ends(29, 11) is 1>]
[561, <Feature of type 1 starts(4, 5) ends(29, 11) is 1>]
[562, <Feature of type 2 starts(4, 5) ends(29, 11) is 1>]
[563, <Feature of type 3 starts(4, 5) ends(29, 11) is 1>]
[568, <Feature of type 0 starts(4, 5) ends(30, 10) is 0>]
[569, <Feature of type 1 starts(4, 5) ends(30, 10) is 0>]
[570, <Feature of type 2 starts(4, 5) ends(30, 10) is 0>]
[571, <Feature of type 3 starts(4, 5) ends(30, 10) is 0>]
[572, <Feature of type 0 starts(4, 5) ends(30, 11) is 1>]
[573, <Feature of type 1 starts(4, 5) ends(30, 11) is 1>]
[574, <Feature of type 2 starts(4, 5) ends(30, 11) is 1>]
[575, <Feature of type 3 starts(4, 5) ends(30, 11) is 1>]
[620, <Feature of type 0 starts(4, 6) ends(26, 12) is 0>]
[621, <Feature of type 1 starts(4, 6) ends(26, 12) is 0>]
[622, <Feature of type 2 starts(4, 6) ends(26, 12) is 0>]
[623, <Feature of type 3 starts(4, 6) ends(26, 12) is 0>]
[628, <Feature of type 0 starts(4, 6) ends(27, 11) is 0>]
[629, <Feature of type 1 starts(4, 6) ends(27, 11) is 0>]
[630, <Feature of type 2 starts(4, 6) ends(27, 11) is 0>]
[631, <Feature of type 3 starts(4, 6) ends(27, 11) is 0>]
[632, <Feature of type 0 starts(4, 6) ends(27, 12) is 0>]
[633, <Feature of type 1 starts(4, 6) ends(27, 12) is 0>]
[634, <Feature of type 2 starts(4, 6) ends(27, 12) is 0>]
[635, <Feature of type 3 starts(4, 6) ends(27, 12) is 0>]
[640, <Feature of type 0 starts(4, 6) ends(28, 11) is 1>]
