Index 150->Feature of type 2 starts(3, 6) ends(26, 11) is 0
Index 151->Feature of type 3 starts(3, 6) ends(26, 11) is 0
Index 152->Feature of type 0 starts(3, 6) ends(26, 12) is 0
Index 153->Feature of type 1 starts(3, 6) ends(26, 12) is 0
Index 154->Feature of type 2 starts(3, 6) ends(26, 12) is 0
Index 155->Feature of type 3 starts(3, 6) ends(26, 12) is 0
Index 156->Feature of type 0 starts(3, 6) ends(27, 10) is 0
Index 157->Feature of type 1 starts(3, 6) ends(27, 10) is 0
Index 158->Feature of type 2 starts(3, 6) ends(27, 10) is 0
Index 159->Feature of type 3 starts(3, 6) ends(27, 10) is 0
Index 160->Feature of type 0 starts(3, 6) ends(27, 11) is 0
Index 161->Feature of type 1 starts(3, 6) ends(27, 11) is 0
Index 162->Feature of type 2 starts(3, 6) ends(27, 11) is 0
Index 163->Feature of type 3 starts(3, 6) ends(27, 11) is 0
Index 164->Feature of type 0 starts(3, 6) ends(27, 12) is 0
Index 165->Feature of type 1 starts(3, 6) ends(27, 12) is 0
Index 166->Feature of type 2 starts(3, 6) ends(27, 12) is 0
Index 167->Feature of type 3 starts(3, 6) ends(27, 12) is 0
Index 168->Feature of type 0 starts(3, 6) ends(28, 10) is 0
Index 169->Feature of type 1 starts(3, 6) ends(28, 10) is 0
Index 170->Feature of type 2 starts(3, 6) ends(28, 10) is 0
Index 171->Feature of type 3 starts(3, 6) ends(28, 10) is 0
Index 172->Feature of type 0 starts(3, 6) ends(28, 11) is 0
Index 173->Feature of type 1 starts(3, 6) ends(28, 11) is 0
Index 174->Feature of type 2 starts(3, 6) ends(28, 11) is 0
Index 175->Feature of type 3 starts(3, 6) ends(28, 11) is 0
Index 176->Feature of type 0 starts(3, 6) ends(28, 12) is 0
Index 177->Feature of type 1 starts(3, 6) ends(28, 12) is 0
Index 178->Feature of type 2 starts(3, 6) ends(28, 12) is 0
Index 179->Feature of type 3 starts(3, 6) ends(28, 12) is 0
Index 180->Feature of type 0 starts(3, 6) ends(29, 10) is 0
Index 181->Feature of type 1 starts(3, 6) ends(29, 10) is 0
Index 182->Feature of type 2 starts(3, 6) ends(29, 10) is 0
Index 183->Feature of type 3 starts(3, 6) ends(29, 10) is 0
Index 184->Feature of type 0 starts(3, 6) ends(29, 11) is 0
Index 185->Feature of type 1 starts(3, 6) ends(29, 11) is 0
Index 186->Feature of type 2 starts(3, 6) ends(29, 11) is 0
Index 187->Feature of type 3 starts(3, 6) ends(29, 11) is 0
Index 188->Feature of type 0 starts(3, 6) ends(29, 12) is 0
Index 189->Feature of type 1 starts(3, 6) ends(29, 12) is 0
Index 190->Feature of type 2 starts(3, 6) ends(29, 12) is 0
Index 191->Feature of type 3 starts(3, 6) ends(29, 12) is 0
Index 192->Feature of type 0 starts(3, 7) ends(22, 11) is 0
Index 193->Feature of type 1 starts(3, 7) ends(22, 11) is 0
Index 194->Feature of type 2 starts(3, 7) ends(22, 11) is 0
Index 195->Feature of type 3 starts(3, 7) ends(22, 11) is 0
Index 196->Feature of type 0 starts(3, 7) ends(22, 12) is 0
Index 197->Feature of type 1 starts(3, 7) ends(22, 12) is 0
Index 198->Feature of type 2 starts(3, 7) ends(22, 12) is 0
Index 199->Feature of type 3 starts(3, 7) ends(22, 12) is 0
Index 200->Feature of type 0 starts(3, 7) ends(22, 13) is 0
Index 201->Feature of type 1 starts(3, 7) ends(22, 13) is 0
Index 202->Feature of type 2 starts(3, 7) ends(22, 13) is 0
Index 203->Feature of type 3 starts(3, 7) ends(22, 13) is 0
Index 204->Feature of type 0 starts(3, 7) ends(23, 11) is 0
Index 205->Feature of type 1 starts(3, 7) ends(23, 11) is 0
Index 206->Feature of type 2 starts(3, 7) ends(23, 11) is 0
Index 207->Feature of type 3 starts(3, 7) ends(23, 11) is 0
Index 208->Feature of type 0 starts(3, 7) ends(23, 12) is 0
Index 209->Feature of type 1 starts(3, 7) ends(23, 12) is 0
Index 210->Feature of type 2 starts(3, 7) ends(23, 12) is 0
Index 211->Feature of type 3 starts(3, 7) ends(23, 12) is 0
Index 212->Feature of type 0 starts(3, 7) ends(23, 13) is 0
Index 213->Feature of type 1 starts(3, 7) ends(23, 13) is 0
Index 214->Feature of type 2 starts(3, 7) ends(23, 13) is 0
Index 215->Feature of type 3 starts(3, 7) ends(23, 13) is 0
Index 216->Feature of type 0 starts(3, 7) ends(24, 11) is 0
Index 217->Feature of type 1 starts(3, 7) ends(24, 11) is 0
Index 218->Feature of type 2 starts(3, 7) ends(24, 11) is 0
Index 219->Feature of type 3 starts(3, 7) ends(24, 11) is 0
Index 220->Feature of type 0 starts(3, 7) ends(24, 12) is 0
Index 221->Feature of type 1 starts(3, 7) ends(24, 12) is 0
Index 222->Feature of type 2 starts(3, 7) ends(24, 12) is 0
Index 223->Feature of type 3 starts(3, 7) ends(24, 12) is 0
Index 224->Feature of type 0 starts(3, 7) ends(24, 13) is 0
Index 225->Feature of type 1 starts(3, 7) ends(24, 13) is 0
Index 226->Feature of type 2 starts(3, 7) ends(24, 13) is 0
Index 227->Feature of type 3 starts(3, 7) ends(24, 13) is 0
Index 228->Feature of type 0 starts(3, 7) ends(25, 11) is 0
Index 229->Feature of type 1 starts(3, 7) ends(25, 11) is 0
Index 230->Feature of type 2 starts(3, 7) ends(25, 11) is 0
Index 231->Feature of type 3 starts(3, 7) ends(25, 11) is 0
Index 232->Feature of type 0 starts(3, 7) ends(25, 12) is 0
Index 233->Feature of type 1 starts(3, 7) ends(25, 12) is 0
Index 234->Feature of type 2 starts(3, 7) ends(25, 12) is 0
Index 235->Feature of type 3 starts(3, 7) ends(25, 12) is 0
Index 236->Feature of type 0 starts(3, 7) ends(25, 13) is 0
Index 237->Feature of type 1 starts(3, 7) ends(25, 13) is 0
Index 238->Feature of type 2 starts(3, 7) ends(25, 13) is 0
Index 239->Feature of type 3 starts(3, 7) ends(25, 13) is 0
Index 240->Feature of type 0 starts(3, 7) ends(26, 11) is 0
Index 241->Feature of type 1 starts(3, 7) ends(26, 11) is 0
Index 242->Feature of type 2 starts(3, 7) ends(26, 11) is 0
Index 243->Feature of type 3 starts(3, 7) ends(26, 11) is 0
Index 244->Feature of type 0 starts(3, 7) ends(26, 12) is 0
Index 245->Feature of type 1 starts(3, 7) ends(26, 12) is 0
Index 246->Feature of type 2 starts(3, 7) ends(26, 12) is 0
Index 247->Feature of type 3 starts(3, 7) ends(26, 12) is 0
Index 248->Feature of type 0 starts(3, 7) ends(26, 13) is 0
Index 249->Feature of type 1 starts(3, 7) ends(26, 13) is 0
Index 250->Feature of type 2 starts(3, 7) ends(26, 13) is 0
Index 251->Feature of type 3 starts(3, 7) ends(26, 13) is 0
Index 252->Feature of type 0 starts(3, 7) ends(27, 11) is 0
Index 253->Feature of type 1 starts(3, 7) ends(27, 11) is 0
Index 254->Feature of type 2 starts(3, 7) ends(27, 11) is 0
Index 255->Feature of type 3 starts(3, 7) ends(27, 11) is 0
Index 256->Feature of type 0 starts(3, 7) ends(27, 12) is 0
Index 257->Feature of type 1 starts(3, 7) ends(27, 12) is 0
Index 258->Feature of type 2 starts(3, 7) ends(27, 12) is 0
Index 259->Feature of type 3 starts(3, 7) ends(27, 12) is 0
Index 260->Feature of type 0 starts(3, 7) ends(27, 13) is 0
Index 261->Feature of type 1 starts(3, 7) ends(27, 13) is 0
Index 262->Feature of type 2 starts(3, 7) ends(27, 13) is 0
